source_id,source_type,target_id,target_type,relation,date,weight
DIST-002,distributor,1,installation,SOLD,2022-03-31,
DIST-028,distributor,2,installation,SOLD,2020-12-17,
DIST-013,distributor,3,installation,SOLD,19-10-2024,
DIST-018,distributor,4,installation,SOLD,10/01/2023,
DIST-030,distributor,5,installation,SOLD,21/05/2023,
DIST-019,distributor,6,installation,SOLD,22/02/2022,
DIST-018,distributor,7,installation,SOLD,2020-10-08,
DIST-004,distributor,8,installation,SOLD,2020/06/08,
DIST-021,distributor,9,installation,SOLD,30-05-2024,
DIST-028,distributor,10,installation,SOLD,2023/07/24,
DIST-004,distributor,11,installation,SOLD,2021-06-18,
DIST-017,distributor,12,installation,SOLD,05/04/2020,
DIST-001,distributor,13,installation,SOLD,2022-05-28,
DIST-034,distributor,14,installation,SOLD,2025/04/04,
DIST-037,distributor,15,installation,SOLD,22-11-2020,
DIST-028,distributor,16,installation,SOLD,2024-10-01,
DIST-015,distributor,17,installation,SOLD,2020-05-05,
DIST-005,distributor,18,installation,SOLD,14-07-2022,
DIST-007,distributor,19,installation,SOLD,2023/10/31,
DIST-022,distributor,20,installation,SOLD,2021-02-03,
DIST-028,distributor,21,installation,SOLD,2024-02-06,
DIST-035,distributor,22,installation,SOLD,2020-12-15,
DIST-026,distributor,23,installation,SOLD,25-07-2021,
DIST-013,distributor,24,installation,SOLD,29/08/2020,
DIST-034,distributor,25,installation,SOLD,25/06/2024,
DIST-003,distributor,26,installation,SOLD,2023/09/24,
DIST-030,distributor,27,installation,SOLD,12/10/2020,
DIST-005,distributor,28,installation,SOLD,2023/04/23,
DIST-020,distributor,29,installation,SOLD,2021-01-16,
DIST-014,distributor,30,installation,SOLD,30-05-2022,
DIST-009,distributor,31,installation,SOLD,2022-05-23,
DIST-003,distributor,32,installation,SOLD,2025-02-12,
DIST-016,distributor,33,installation,SOLD,04-03-2023,
DIST-027,distributor,34,installation,SOLD,2022/04/11,
DIST-020,distributor,35,installation,SOLD,2022-02-06,
DIST-033,distributor,36,installation,SOLD,2024/09/21,
DIST-021,distributor,37,installation,SOLD,06/07/2024,
DIST-028,distributor,38,installation,SOLD,2022/12/21,
DIST-019,distributor,39,installation,SOLD,18-10-2021,
DIST-019,distributor,40,installation,SOLD,2025/02/04,
DIST-033,distributor,41,installation,SOLD,06/01/2023,
DIST-003,distributor,42,installation,SOLD,16/03/2024,
DIST-032,distributor,43,installation,SOLD,02/06/2021,
DIST-036,distributor,44,installation,SOLD,13-03-2021,
DIST-036,distributor,45,installation,SOLD,08-07-2021,
DIST-005,distributor,46,installation,SOLD,2022/02/27,
DIST-014,distributor,47,installation,SOLD,2023/08/19,
DIST-025,distributor,48,installation,SOLD,2023/02/26,
DIST-032,distributor,49,installation,SOLD,09-01-2023,
DIST-028,distributor,50,installation,SOLD,2024-02-03,
DIST-025,distributor,51,installation,SOLD,2023/10/01,
DIST-002,distributor,52,installation,SOLD,10/11/2021,
DIST-017,distributor,53,installation,SOLD,04/08/2021,
DIST-037,distributor,54,installation,SOLD,11-05-2023,
DIST-003,distributor,55,installation,SOLD,2023/10/22,
DIST-010,distributor,56,installation,SOLD,2024/08/08,
DIST-029,distributor,57,installation,SOLD,12-02-2024,
DIST-022,distributor,58,installation,SOLD,2025/03/27,
DIST-016,distributor,59,installation,SOLD,03-05-2024,
DIST-024,distributor,60,installation,SOLD,2024/09/05,
DIST-013,distributor,61,installation,SOLD,2024-09-20,
DIST-024,distributor,62,installation,SOLD,2020-04-13,
DIST-032,distributor,63,installation,SOLD,2020/04/08,
DIST-005,distributor,64,installation,SOLD,17/10/2020,
DIST-027,distributor,65,installation,SOLD,31-01-2022,
DIST-007,distributor,66,installation,SOLD,2021-12-06,
DIST-001,distributor,67,installation,SOLD,19-03-2025,
DIST-015,distributor,68,installation,SOLD,2025-03-07,
DIST-020,distributor,69,installation,SOLD,2025/01/02,
DIST-035,distributor,70,installation,SOLD,05/11/2020,
DIST-037,distributor,71,installation,SOLD,27-08-2021,
DIST-023,distributor,72,installation,SOLD,23/11/2022,
DIST-026,distributor,73,installation,SOLD,04/11/2024,
DIST-001,distributor,74,installation,SOLD,11-10-2024,
DIST-014,distributor,75,installation,SOLD,2021/04/12,
DIST-020,distributor,76,installation,SOLD,10-11-2024,
DIST-033,distributor,77,installation,SOLD,12-09-2023,
DIST-005,distributor,78,installation,SOLD,2023/09/11,
