payment_id,installation_id,amount_xaf,payment_date,channel,status,operator_code
ORMN-68800577-738,1223,12700.0,2025/02/27,orange_money,reversed,OM237
MOMO-13724595-652,988,5900.0,10-08-2024,mtn_momo,success,MTN909
MOMO-20199785-373,4689,7800.0,2024-05-08,mtn_momo,success,MTN188
ORMN-86848517-452,2251,4000.0,18/09/2025,orange_money,success,OM237
CASH-19700473-657,242,144100.0,2024/02/17,cash,pending,
ORMN-17620359-478,4786,17500.0,2025/01/29,orange_money,success,OM97
MOMO-91870714-902,1243,43200.0,2024-05-22,mtn_momo,success,MTN833
ORMN-30753151-412,619,5500.0,01/06/2024,orange_money,success,OM-CM
MOMO-94592836-578,501,4000.0,28/02/2024,mtn_momo,pending,MTN739
MOMO-92653287-273,489,14100.0,08-10-2024,mtn_momo,success,MTN316
ORMN-32050090-650,2560,8500.0,2025-03-09,orange_money,success,ORANGE_MONEY
ORMN-46267356-426,1479,22300.0,18/02/2025,orange_money,reversed,OM22
ORMN-27414534-106,4600,7300.0,24/04/2025,orange_money,success,OM52
MOMO-58921384-350,4321,3600.0,2024/02/09,mtn_momo,success,MTN411
MOMO-78065465-269,97,8800.0,2025/09/19,mtn_momo,success,MTN835
BNKT-85103142-193,467,45000.0,2024-03-07,bank_transfer,pending,SGBC4591
MOMO-93987766-509,404,7000.0,09-04-2024,mtn_momo,failed,MTN419
ORMN-82937114-523,3623,14900.0,2025-03-29,orange_money,success,OM237
MOMO-12883327-477,199,7500.0,23/01/2024,mtn_momo,success,MTN520
MOMO-59611748-721,2841,7900.0,20/07/2024,mtn_momo,success,MTN508
MOMO-28185422-381,4488,13800.0,03/04/2024,mtn_momo,success,MTN543
MOMO-11850454-167,3361,15500.0,2025-02-27,mtn_momo,success,MTN577
BNKT-72801734-800,2345,95200.0,02/07/2025,bank_transfer,pending,SGBC5187
BNKT-77489551-434,4168,9100.0,11/09/2025,bank_transfer,failed,SGBC8191
MOMO-67917852-475,3866,3900.0,03-12-2024,mtn_momo,success,MTN494
MOMO-72112406-864,3469,9900.0,2025-11-13,mtn_momo,success,MTN461
BNKT-77608348-376,2817,90600.0,19/02/2024,bank_transfer,success,SGBC7021
MOMO-40162821-458,2080,7800.0,2024/11/18,mtn_momo,success,MTN273
